date,sessions
2016-07-16,4
2016-07-17,5
2016-07-18,3
2016-07-19,9
2016-07-20,1
2016-07-21,2
2016-07-22,2
2016-07-23,3
2016-07-24,3
2016-07-25,2
2016-07-26,6
2016-07-27,2
2016-07-28,4
2016-07-29,1
2016-07-30,1
2016-07-31,1
2016-08-01,1
2016-08-02,1
2016-08-03,2
2016-08-04,1
2016-08-05,5
2016-08-06,5
2016-08-07,2
2016-08-08,1
2016-08-09,3
2016-08-10,2
2016-08-11,3
2016-08-12,4
2016-08-13,0
2016-08-14,3
2016-08-15,2
2016-08-16,1
2016-08-17,1
2016-08-18,1
2016-08-19,2
2016-08-20,2
2016-08-21,6
2016-08-22,11
2016-08-23,10
2016-08-24,578
2016-08-25,585
2016-08-26,451
2016-08-27,124
2016-08-28,170
2016-08-29,729
2016-08-30,690
2016-08-31,674
2016-09-01,641
2016-09-02,456
2016-09-03,6
2016-09-04,121
2016-09-05,6
2016-09-06,824
2016-09-07,802
2016-09-08,647
2016-09-09,481
2016-09-10,7
2016-09-11,165
2016-09-12,448
2016-09-13,579
2016-09-14,648
2016-09-15,686
2016-09-16,359
2016-09-17,13
2016-09-18,130
2016-09-19,656
2016-09-20,618
2016-09-21,678
2016-09-22,432
2016-09-23,443
2016-09-24,64
2016-09-25,136
2016-09-26,462
2016-09-27,536
2016-09-28,447
2016-09-29,412
2016-09-30,332
2016-10-01,67
2016-10-02,106
2016-10-03,394
2016-10-04,473
2016-10-05,503
2016-10-06,383
2016-10-07,251
2016-10-08,53
2016-10-09,101
2016-10-10,366
2016-10-11,427
2016-10-12,480
2016-10-13,449
2016-10-14,272
2016-10-15,10
2016-10-16,98
2016-10-17,410
2016-10-18,363
2016-10-19,333
2016-10-20,386
2016-10-21,217
2016-10-22,55
2016-10-23,41
2016-10-24,420
2016-10-25,427
2016-10-26,337
2016-10-27,320
2016-10-28,268
2016-10-29,67
2016-10-30,37
2016-10-31,481
2016-11-01,448
2016-11-02,386
2016-11-03,401
2016-11-04,281
2016-11-05,48
2016-11-06,67
2016-11-07,468
2016-11-08,468
2016-11-09,324
2016-11-10,375
2016-11-11,12
2016-11-12,52
2016-11-13,79
2016-11-14,527
2016-11-15,463
2016-11-16,444
2016-11-17,509
2016-11-18,306
2016-11-19,45
2016-11-20,61
2016-11-21,488
2016-11-22,332
2016-11-23,2
2016-11-24,2
2016-11-25,3
2016-11-26,3
2016-11-27,7
2016-11-28,491
2016-11-29,512
2016-11-30,444
2016-12-01,511
2016-12-02,417
2016-12-03,60
2016-12-04,47
2016-12-05,290
2016-12-06,274
2016-12-07,244
2016-12-08,218
2016-12-09,231
2016-12-10,76
2016-12-11,100
2016-12-12,294
2016-12-13,218
2016-12-14,220
2016-12-15,159
2016-12-16,172
2016-12-17,4
2016-12-18,2
2016-12-19,1
2016-12-20,1
2016-12-21,2
2016-12-22,0
2016-12-23,0
2016-12-24,0
2016-12-25,1
2016-12-26,1
2016-12-27,2
2016-12-28,0
2016-12-29,1
2016-12-30,0
2016-12-31,1
2017-01-01,2
2017-01-02,2
2017-01-03,2
2017-01-04,1
2017-01-05,2
2017-01-06,1
2017-01-07,1
2017-01-08,1
2017-01-09,4
2017-01-10,2
2017-01-11,1
2017-01-12,2
2017-01-13,0
2017-01-14,1
2017-01-15,9
2017-01-16,11
2017-01-17,356
2017-01-18,475
2017-01-19,332
2017-01-20,345
2017-01-21,48
2017-01-22,72
2017-01-23,602
2017-01-24,503
2017-01-25,647
